Project,Metric_Category,Metric_Name,Value,Unit,Rank,Percentile,vs_Average,Performance_Rating
project,Manuscript,Total_Words,13447,words,1,100.0%,+135.7%,Excellent
project,Manuscript,Sections,17,count,1,100.0%,+75.9%,Excellent
project,Codebase,Source_Lines,2753,lines,1,100.0%,+183.3%,Excellent
project,Pipeline,Duration,530.0,seconds,3,0.0%,+20.4%,Excellent
project,Outputs,Total_Files,56,files,1,100.0%,+121.1%,Excellent
small_code_project,Manuscript,Total_Words,1941,words,2,50.0%,-66.0%,Average
small_code_project,Manuscript,Sections,6,count,2,50.0%,-37.9%,Average
small_code_project,Codebase,Source_Lines,131,lines,2,50.0%,-86.5%,Average
small_code_project,Pipeline,Duration,412.0,seconds,2,50.0%,-6.4%,Average
small_code_project,Outputs,Total_Files,11,files,2,50.0%,-56.6%,Average
small_prose_project,Manuscript,Total_Words,1729,words,3,0.0%,-69.7%,Poor
small_prose_project,Manuscript,Sections,6,count,2,50.0%,-37.9%,Average
small_prose_project,Codebase,Source_Lines,31,lines,3,0.0%,-96.8%,Poor
small_prose_project,Pipeline,Duration,379.0,seconds,1,100.0%,-13.9%,Poor
small_prose_project,Outputs,Total_Files,9,files,3,0.0%,-64.5%,Poor
