Category,Metric,Value,Unit
Manuscript,Total_Words,16206,words
Manuscript,Total_Sections,24,sections
Manuscript,Total_Equations,5,equations
Manuscript,Total_Figures,7,figures
Manuscript,Total_References,53,references
Tests,Total_Tests,469,tests
Tests,Total_Passed,469,tests
Tests,Total_Failed,0,tests
Tests,Average_Coverage,97.3493429995469,percent
Tests,Total_Execution_Time,0.0,seconds
Pipeline,Total_Duration,467.96636867523193,seconds
Pipeline,Average_Duration,233.98318433761597,seconds
Pipeline,Total_Stages_Passed,18,stages
Pipeline,Total_Stages_Failed,0,stages
Outputs,Total_PDFs,2,files
Outputs,Total_Size_MB,6.5744829177856445,MB
Outputs,Total_Figures,40,files
Outputs,Total_Slides,18,files
Outputs,Total_Web,20,files
