Project,Metric_Category,Metric_Name,Value,Unit,Rank,Percentile,vs_Average,Performance_Rating
blake_active_inference,Manuscript,Total_Words,20911,words,1,100.0%,+69.8%,Excellent
blake_active_inference,Manuscript,Sections,19,count,1,100.0%,+40.7%,Excellent
blake_active_inference,Codebase,Source_Lines,832,lines,1,100.0%,+52.4%,Excellent
blake_active_inference,Pipeline,Duration,74.83576822280884,seconds,2,0.0%,+30.1%,Excellent
blake_active_inference,Outputs,Total_Files,42,files,1,100.0%,+37.7%,Excellent
code_project,Manuscript,Total_Words,3720,words,2,0.0%,-69.8%,Poor
code_project,Manuscript,Sections,8,count,2,0.0%,-40.7%,Poor
code_project,Codebase,Source_Lines,260,lines,2,0.0%,-52.4%,Poor
code_project,Pipeline,Duration,40.191489458084106,seconds,1,100.0%,-30.1%,Poor
code_project,Outputs,Total_Files,19,files,2,0.0%,-37.7%,Poor
