term,lemma,domains,frequency,confidence,contexts
information-theoretic,information-theoretic,,3,0.4,via nonlinear prediction **information-theoretic** tool chiara barà|hob clearly identified **information-theoretic** measure prediction measure|controlled setting employ **information-theoretic** measure assess informativeness
optimization-based,optimization-based,,3,0.4,integrating thermal sensing **optimization-based** coordination efficient search|gopher **optimization-based** phenotype randomization genome-wide|prior approach 1 **optimization-based** randomization mechanism directly
short-term,short-term,,3,0.4,dual coupling mechanism **short-term** 05 25 long-term|cnn attention-based long **short-term** memory attention-lstm layer|generate fast nowcasts **short-term** forecast inform public
dual-channel,dual-channel,,3,0.4,dcaf-net **dual-channel** attentive fusion network|training paper proposes **dual-channel** attentive fusion network|stroke patient first **dual-channel** adaptive channel attention
multi-scale,multi-scale,,6,0.5,scalar likelihood show **multi-scale** pf-ode trajectory statistic|epitope discovery via **multi-scale** prediction antigen presentation|presentation pathway employ **multi-scale** evaluation framework benchmark
trade-off,trade-off,economics,5,0.7999999999999999,multidimensional performance **trade-off** bipedal standing common|nature favored term **trade-off** energetic cost redundancy|infection mitigation optimizing **trade-off** mitigation infection cost
dual-path,dual-path,,3,0.4,**dual-path** knowledge-augmented contrastive alignment|propose dkan novel **dual-path** knowledge-augmented contrastive alignment|mechanism additionally propose **dual-path** contrastive alignment module
genetics,genetics,,3,0.2,population model used **genetics** fabio c c|extensively used population **genetics** except certain degenerate|foundational molecular population **genetics** problem including interpreting
light-sheet,light-sheet,,4,0.4,integrated quantitative single-objective **light-sheet** microscope subcellular dynamic|minimal phototoxicity single-objective **light-sheet** approach based oblique|remote refocusing tilt-invariant **light-sheet** scanning hardware-timed synchronization
chain-of-thought,chain-of-thought,,3,0.4,underscoring critical role **chain-of-thought** reasoning capability protein-specific|ontology knowledge graph **chain-of-thought** prompting using gpt-4|one investigate usage **chain-of-thought** cot prompt engineering
birth-death,birth-death,,5,0.4,process capture stochastic **birth-death** dynamic structured population|substantially spatial moran **birth-death** bd moran death-birth|mixed **birth-death** death-birth updating structured
multi-path,multi-path,,4,0.4,function profile via **multi-path** aggregation reveal neuron-level|neuronal response introduce **multi-path** aggregation mpa framework|signal quality inspired **multi-path** propagation model conventional
eco-evolutionary,eco-evolutionary,,4,0.4,stochastic fluctuation **eco-evolutionary** game dynamic environmental|liu building upon **eco-evolutionary** game dynamic framework|corresponding deterministic model **eco-evolutionary** game variance converges
agent-based,agent-based,,5,0.4,developed spatially explicit **agent-based** model empty site|shape using differentiable **agent-based** simulation seong ho|environmental autocorrelation evolutionary **agent-based** model confirms bistability
open-source,open-source,,3,0.4,biosensor design released **open-source** software model enables|protein data outperforming **open-source** domain-specific counterpart 20|reviewer core module **open-source** eeg autoclean platform
fixed-topology,fixed-topology,,3,0.4,assess impact various **fixed-topology** strategy phylogenetic phylodynamic|bayesian joint inference **fixed-topology** strategy including conditioning|model largely robust **fixed-topology** assumption parameter depend
high-dimensional,high-dimensional,,5,0.4,prior enhance bo **high-dimensional** feature costly in-context|state following possibly **high-dimensional** langevin equation discus|heterogeneous process condition **high-dimensional** sensory input study
selection,selection,,27,0.4,reveals behavior-specific habitat **selection** cattle farm subsidy|arises response directional **selection** experimentally evolved multicellular|relation suggest considerable **selection** upon increase dispersal
s-eps,s-eps,,3,0.4,equal power sampling **s-eps** framework phylogenetic-free bias-correcting|source-sink dynamic applying **s-eps** 66 million sars-cov-2|importance genetic surveillance **s-eps** offering enhanced capability
high-resolution,high-resolution,,4,0.4,introduce asubee first **high-resolution** dataset specifically designed|ld robustly applied **high-resolution** haploid genome human|ct advanced modality **high-resolution** peripheral quantitative ct
real-time,real-time,,8,0.5,mid-infrared plasmonic metasurface **real-time** label-free analysis live|surrogate model promise **real-time** assessment suffer critical|intelligence browser-based tool **real-time** spatial analysis artificial
colony,colony,unit_of_individuality,12,0.7999999999999999,impact glandular physiology **colony** resilience bezabih g|rat housed enriched **colony** cage versus conventional|proliferation apoptosis migration **colony** formation via p-erk
self-supervised,self-supervised,,4,0.4,set odor molecule **self-supervised** learning capability vae|**self-supervised** learning molecular graph|veronika thost tengfei **self-supervised** learning ssl play
behavior,behavior,behavior_and_identity,28,0.7999999999999999,intensity modulates locomotor **behavior** predation different color|control effect hygienic **behavior** apis mellifera ristanić|temporal dynamic collective **behavior** ashraf kumar p
phylogenetic,phylogenetic,,27,0.4,duchene ruriko yoshida **phylogenetic** tree provide fundamental|speyer sturmfels coincides **phylogenetic** tree space paper|interface algebraic geometry **phylogenetic** inference
pf-ode,pf-ode,,3,0.4,self-consistent probability-flow ode **pf-ode** produce per-sample log-likelihoods|protein family training **pf-ode** likelihood identify held-out|likelihood show multi-scale **pf-ode** trajectory statistic including
death-birth,death-birth,,3,0.4,birth-death bd moran **death-birth** db fkpp dynamic|mixed birth-death **death-birth** updating structured population|standard update rule **death-birth** db birth-death bd
λ_ea,λ_ea,,3,0.4,estimating extinction threshold **λ_ea** result revealed consistent|result revealed consistent **λ_ea** relationship largely independent|geometry except smallest **λ_ea** relationship obeyed universal
co-expression,co-expression,,3,0.4,utilized weighted gene **co-expression** network analysis wgcna|topology alzheimers gene **co-expression** aya samadzelkava alzheimers|disruption topology gene **co-expression** space healthy ad
real-world,real-world,,10,0.5,score 58246 mixing **real-world** synthetic data 10|2020 anchor framework **real-world** case study find|model output inform **real-world** decision introduce deepska
end-to-end,end-to-end,,4,0.4,calibration timing precision **end-to-end** integration required reproducible|paper present novel **end-to-end** computational framework bridge|learning introduce diffeomorph **end-to-end** differentiable framework learning
