term,lemma,domains,frequency,confidence,contexts
δ_textrmmi,δ_textrmmi,,4,0.4,δ_textrmmp mutual information **δ_textrmmi** obtained considering system|group interaction source **δ_textrmmi** exhibit higher propensity|show significant value **δ_textrmmi** investigating additive effect
protein-protein,protein-protein,,3,0.4,dynamics-inspired structure hallucination **protein-protein** interaction modeling fang|stan z li **protein-protein** interaction ppi represents|achieves roc-auc 093 **protein-protein** binding site prediction
d-ribose-5-phosphate,d-ribose-5-phosphate,,3,0.4,ribose phosphorylation forming **d-ribose-5-phosphate** inside **d-ribose-5-phosphate** molecule|forming **d-ribose-5-phosphate** inside **d-ribose-5-phosphate** molecule cross membrane|evolution structure conversion **d-ribose-5-phosphate** complex functional molecule
p_r,p_r,,3,0.4,pearson correlation coefficient **p_r** 0375 rmse 2712|sequence-only baseline model **p_r** 0512 rmse 2445|obtained structure-based model **p_r** 0481 rmse 2488
cross-dataset,cross-dataset,,3,0.4,separability enabling strong **cross-dataset** generalization evaluate method|dataset well bidirectional **cross-dataset** experiment training one|intra-dataset robustness excellent **cross-dataset** generalization demonstrate method
b_1,b_1,,4,0.4,tree balance implication **b_1** index mareike fischer|question concerning well-known **b_1** balance index particular|tree shape maximize **b_1** index two case
game-theoretic,game-theoretic,,4,0.4,oscillatory regime **game-theoretic** model mosquito population|poorly understood introduce **game-theoretic** model fraction household|game theory coincides **game-theoretic** concept nash equilibrium
end-to-end,end-to-end,,5,0.4,classification tracking-derived feature **end-to-end** deep learning architecture|demonstrate prism practical **end-to-end** workflow bridge language-based|calibration timing precision **end-to-end** integration required reproducible
cross-modal,cross-modal,,4,0.4,address challenge propose **cross-modal** deep learning framework|gating module bgm **cross-modal** supervised contrastive learning|multiscale **cross-modal** mapping molecular pathologic
state-of-the-art,state-of-the-art,,18,0.6,ensure interoperability data **state-of-the-art** harmonisation approach based|existing approach based **state-of-the-art** combat along distributed|feature sheaflapnet achieves **state-of-the-art** performance across diverse
birth-death,birth-death,,7,0.5,multiscale modelling **birth-death** process tom kimpson|tractable time-inhomogeneous linear **birth-death** process structure yield|process capture stochastic **birth-death** dynamic structured population
c_1,c_1,,3,0.4,beginequation mathcale_mathrmmetell p_0 **c_1** δmathcala_ell c_2 int_0tellt-ell_02dt|duration loading p_0 **c_1** c_2 constant determined|meaningful coefficient p_0 **c_1** c_2 mean linear
open-source,open-source,,11,0.6,ecgomics systematic paradigm **open-source** platform multidimensional deconstruction|**open-source** computational framework immersed|work present novel **open-source** immersed fsi framework
steady-state,steady-state,,4,0.4,flux distribution within **steady-state** subspace operation corresponds|orthogonal projection enforces **steady-state** assumption introduce extension|flux data predicting **steady-state** flux readily available
high-confidence,high-confidence,,3,0.4,identify compact set **high-confidence** predictor pain mental|million association pinpoint **high-confidence** target chemist agent|molecular docking identified **high-confidence** candidate ligand l1
c_2,c_2,,3,0.4,p_0 c_1 δmathcala_ell **c_2** int_0tellt-ell_02dt oell-ell_0_linfty3 endequation|loading p_0 c_1 **c_2** constant determined local|coefficient p_0 c_1 **c_2** mean linear regression
μμ_c,μμ_c,,3,0.4,mutation rate μ_c12n **μμ_c** exactly uniform probability|allele2 πk1n1 k0dotsn **μμ_c** diversity low stationary|dominated one allele **μμ_c** hand diversity high
real-world,real-world,,8,0.5,theoretical discovery decentralized **real-world** health management ensuring|evaluated using new **real-world** dataset comprised 720|method using two **real-world** application aid clinical
time-varying,time-varying,,7,0.5,non-critical transition linearised **time-varying** dynamic application epidemic|comparable wa test **time-varying** recurrent event rate|situation process corresponds **time-varying** vaccination rate susceptible
r_0,r_0,,6,0.5,basic reproduction number **r_0** establish local stability|stability disease-free equilibrium **r_0** 1 analytical result|constant reproduction number **r_0** optimal response infectious
p_c,p_c,,3,0.4,1 critical value **p_c** proliferation advantageous disadvantageous|depending whether p **p_c** p **p_c** clarify|p **p_c** p **p_c** clarify role symmetry
beta-coalescents,beta-coalescents,,3,0.4,range 0 2 **beta-coalescents** may incomplete due|**beta-coalescents** sample size large
phylogenetic,phylogenetic,,16,0.4,laboratory survival across **phylogenetic** lineage riskas hl|model consists rooted **phylogenetic** tree three leaf|used example infer **phylogenetic** tree tumor evolution
low-cost,low-cost,economics,3,0.7999999999999999,lotus **low-cost** time-lapse automated imaging|cost-effective intervention identify **low-cost** priority area across|solid foundation generalizable **low-cost** phenotyping
learning-based,learning-based,,3,0.4,comparative evaluation deep **learning-based** who-informed approach sperm|engineeringhowever existing deep **learning-based** enzyme-substrate interaction esi|paper present deep **learning-based** solution automating bee
x-ray,x-ray,,9,0.5,first step expansion **x-ray** microscopy achieving contrast|rapid tomographic technique **x-ray** microscopy potential drastically|expanded tissue using **x-ray** microscopy herein present
multi-objective,multi-objective,,3,0.4,morphogenesis approach biological **multi-objective** optimality maxime lucas|biological architecture approaching **multi-objective** optimality arise simple|metaheuristic algorithm well **multi-objective** optimization programming assembles
out-of-distribution,out-of-distribution,economics,4,0.7999999999999999,representation learning boost **out-of-distribution** generalization enzymatic kinetic|performance degradation sequence-divergent **out-of-distribution** ood case limiting|**out-of-distribution** detection molecular complex
cross-validation,cross-validation,,4,0.4,evaluate method five-fold **cross-validation** afdb cpsc2021 dataset|rigorous grouped 3-fold **cross-validation** unseen subjectsresultsthe model|network leave-one-complex-out loco **cross-validation** used assess framework
evolutionary,evolutionary,,43,0.4,álvarez study chorhendysnir2006 **evolutionary** model consists rooted|cantor jc69 molecular **evolutionary** model molecular clock|immigration turnover ecology **evolutionary** science long debated
mosquito-borne,mosquito-borne,,3,0.4,kottegoda lucas stolerman **mosquito-borne** disease remain major|lee smith recent **mosquito-borne** outbreak revealed vulnerability|culex population mitigating **mosquito-borne** disease risk weather-driven
